id,presentation,practice,management,understanding,first_principles,other,other_text,comments
1,20,20,20,20,20,0,Testing postgreSQL,""
2,20,20,20,20,20,0,This is the 2nd postgresql test,This is the 2nd postgresql test
3,20,20,20,20,20,0,"",3rd test
4,20,20,20,20,20,0,"",4th test
5,21,42,37,0,0,0,Testing textarea,testing textarea for other input
6,25,23,20,32,0,0,"",""
7,20,25,40,15,0,0,"",""
8,25,20,29,13,13,0,"",""
9,40,40,0,10,10,0,"",""
10,0,20,30,0,50,0,"",""
11,37,24,18,21,0,0,"",""
12,20,30,30,10,10,0,"",""
13,20,10,14,45,11,0,"",""
14,12,15,23,25,25,0,"",I would also like to quickly recognise common ECG's
